,id,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
0,10207752498087457460,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,b8508a96,dc15c87e,1,2,23161,320,50,2667,0,47,-1,221
1,1041265348758960554,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,a8df81c1,d787e91b,1,0,23866,320,50,2736,0,33,100171,246
2,10627262227707083974,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,685d1c4c,2347f47a,8ded1f7a,a99f214a,14fa7995,ecb851b2,1,2,23222,320,50,2676,0,299,-1,221
3,10831590596434654005,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,685d1c4c,2347f47a,8ded1f7a,a99f214a,2ea43762,4ea23a13,1,3,24002,320,50,2749,0,43,100176,221
4,11030886045015547262,14103100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,35f7cb0b,0fadd2fe,1,0,22676,320,50,2616,0,35,100084,51
5,11236163831145734837,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,be2e7e60,2891f384,1,0,22813,320,50,2647,2,39,100148,23
6,1143608033577622548,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,388d9bfb,2347f47a,cef3e649,1300dde1,0f341ad5,1610002a,1,3,23216,320,480,2675,3,939,100058,100
7,11634961929287032964,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,98fed791,d9b5648e,0f2161f8,a99f214a,ef265ff6,aad45b01,1,0,20508,320,50,2351,3,163,-1,61
8,11844209341231824329,14103100,1005,1,5ee41ff2,17d996e6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,3347ce72,5ec45883,1,0,20251,320,50,2323,0,687,100081,48
9,1204961129380553644,14103100,1005,1,85f751fd,c4e18dd6,50e219e0,cf0327f9,2347f47a,0f2161f8,ac8910b3,44af9591,9b333dda,1,2,23647,300,50,2709,3,39,100013,23
10,1225952308456896800,14103100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,94112c86,c730b3c6,1,0,22676,320,50,2616,0,35,100084,51
11,12465619712460060691,14103100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,183d4b19,8b1aa260,1,0,22676,320,50,2616,0,35,100084,51
12,12688958571506274315,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,51cedd4e,aefc06bd,0f2161f8,a99f214a,4dd708ef,90f22c00,1,0,21611,320,50,2480,3,299,100111,61
13,12900981521572000029,14103100,1005,1,85f751fd,c4e18dd6,50e219e0,cf0327f9,2347f47a,0f2161f8,3940d22e,f0f37795,620fe843,1,0,22638,300,50,2060,3,39,-1,23
14,13108846674722644165,14103100,1002,0,2a4eac4c,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,34931d8f,8f440197,0d331951,0,0,6563,320,50,572,2,39,-1,32
15,13316395363133833920,14103100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,071e8a2e,dd701fcb,1,0,15707,320,50,1722,0,35,100084,79
16,13515702060443183745,14103100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6b9769f2,9a08f9c3,1,2,15706,320,50,1722,0,35,-1,79
17,13722315474008425623,14103100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,3f3653ab,8a4875bd,1,0,15704,320,50,1722,0,35,-1,79
18,13942353194265239824,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,13799c59,ae637522,0f2161f8,a99f214a,825df8eb,36b67a2a,1,0,23866,320,50,2736,0,33,-1,246
