,label,id,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
0,0,15,2,0,23,142,2,116,8,0,166,1533,137,1,1,31,2,1,18,0,0,0,13
1,0,159,2,0,23,142,2,116,8,0,166,1048,213,1,0,29,2,1,18,0,0,32,13
2,0,160,2,0,23,142,2,116,8,0,166,1256,258,1,0,29,2,1,18,0,0,32,13
3,0,161,2,0,23,142,2,116,8,0,166,1602,187,1,0,31,2,1,18,0,0,32,13
4,0,162,2,1,172,79,0,116,8,0,166,1046,226,1,0,71,2,1,47,0,0,0,23
5,0,163,2,0,141,110,10,116,8,0,166,36,258,1,0,41,2,1,29,0,16,28,21
6,0,164,2,0,101,18,10,116,8,0,166,1245,357,1,0,102,2,1,66,0,1,0,23
7,0,165,2,1,150,73,10,116,8,0,166,1592,358,1,0,111,2,1,71,3,1,0,3
8,1,166,2,0,23,142,2,116,8,0,166,381,178,1,1,32,2,1,18,0,0,0,13
9,0,167,1,0,95,118,5,116,8,0,189,1661,113,0,0,142,2,1,81,3,7,54,3
10,0,168,2,1,150,73,10,116,8,0,166,660,269,1,0,54,2,1,35,2,1,6,5
11,0,169,2,0,23,142,2,116,8,0,166,790,63,1,0,26,2,1,18,0,0,0,13
12,0,170,2,0,114,4,10,116,8,0,166,621,245,1,1,110,2,1,47,0,0,44,23
13,0,171,2,0,141,110,10,116,8,0,166,814,6,1,0,79,2,1,49,0,21,28,8
14,0,172,2,0,97,118,5,80,18,1,166,782,326,1,0,120,2,1,69,0,17,0,7
15,0,173,2,0,23,142,2,116,8,0,166,1149,258,1,0,24,2,1,18,0,0,32,13
16,0,174,2,0,145,88,10,116,8,0,166,1074,39,1,0,60,2,1,42,2,1,0,4
17,0,175,2,0,23,142,2,116,8,0,166,1352,359,1,1,33,2,1,18,0,0,32,13
18,0,176,2,1,8,21,2,116,8,0,166,1292,43,1,0,10,2,1,6,2,1,0,4
19,0,177,2,0,97,118,5,54,18,5,166,1720,343,1,0,123,2,1,74,3,6,33,10
20,0,178,2,0,60,120,4,116,8,0,166,967,100,1,0,99,2,1,66,0,1,0,23
21,0,179,2,0,23,142,2,116,8,0,166,187,54,1,0,31,2,1,18,0,0,0,13
22,0,180,2,0,60,120,4,116,8,0,166,1134,183,1,0,105,2,1,66,0,1,0,23
23,1,181,2,0,23,142,2,116,8,0,166,1379,240,1,0,26,2,1,18,0,0,0,13
24,0,182,2,0,23,142,2,116,8,0,166,1613,408,1,0,31,2,1,18,0,0,31,13
25,0,183,4,1,97,118,5,122,8,1,234,745,301,2,0,134,2,1,79,3,0,0,21
26,0,184,2,1,150,73,10,116,8,0,166,1376,200,1,0,120,2,1,69,0,17,64,7
27,1,185,2,0,97,118,5,43,1,1,142,278,450,1,0,130,2,1,77,3,12,38,10
28,0,186,2,0,60,120,4,116,8,0,166,553,419,1,0,105,2,1,66,0,1,0,23
29,0,187,2,0,23,142,2,116,8,0,166,462,467,1,0,31,2,1,18,0,0,0,13
30,0,188,2,0,97,118,5,56,1,4,105,966,244,1,2,33,2,1,18,0,0,0,13
31,0,189,2,0,168,131,2,116,8,0,166,1175,445,1,0,38,2,1,26,3,0,0,0
32,1,190,2,0,23,142,2,116,8,0,166,1144,155,1,0,33,2,1,18,0,0,31,13
33,0,191,2,0,23,142,2,116,8,0,166,1199,419,1,0,24,2,1,18,0,0,0,13
34,0,192,2,0,60,120,4,116,8,0,166,727,419,1,0,102,2,1,66,0,1,0,23
35,0,193,2,0,97,118,5,103,1,4,80,230,416,1,2,70,2,1,46,3,11,55,10
36,0,194,2,0,1,1,8,116,8,0,166,740,85,1,0,110,2,1,47,0,0,0,23
37,1,195,2,0,97,118,5,6,4,7,166,1420,90,1,0,71,2,1,47,0,0,12,23
38,0,196,2,0,1,1,8,116,8,0,166,549,122,1,0,71,2,1,47,0,0,0,23
39,1,197,2,0,23,142,2,116,8,0,166,1248,112,1,0,31,2,1,18,0,0,0,13
40,0,198,2,0,23,142,2,116,8,0,166,61,147,1,0,29,2,1,18,0,0,32,13
41,0,199,2,0,75,127,11,116,8,0,166,396,188,1,0,82,2,1,55,0,21,26,8
