,label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
0,0,0.010526315789473684,0.0003813882532418001,0.0005912262031453234,0.0,0.00136128800303384,0.0008624407072013799,0.00904704463208685,0.003656307129798903,0.03210927798474366,0.25,0.05405405405405406,0.0,0.0025974025974025974,33,126,1274,512,1,3,1021,5,1,579,648,250,124,3,445,642,8,510,22,3,39,2,1,585,27,320
1,0,0.021052631578947368,0.0002542588354945334,0.005202790587678846,0.011494252873563218,0.0001004713287333225,0.0017248814144027599,0.0012062726176115801,0.003656307129798903,0.0007095973035302466,0.25,0.02702702702702703,0.0,0.005194805194805195,33,238,580,272,1,6,672,2,1,142,282,441,675,13,748,925,0,364,22,0,478,2,1,193,27,243
2,0,0.021052631578947368,0.0002542588354945334,0.00011824524062906468,0.16091954022988506,0.0007555049915535133,0.019189305735230703,0.0024125452352231603,0.003656307129798903,0.0434628348412276,0.25,0.08108108108108109,0.030612244897959183,0.05844155844155844,9,13,20,819,1,3,917,2,1,194,336,679,535,2,365,244,6,114,123,1,1094,3,1,162,19,356
3,0,0.0,0.1137808288838037,0.0,0.0,0.004326177213693651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,42,879,194,1,6,233,2,1,849,822,781,160,2,85,382,1,240,123,1,534,2,1,436,19,356
4,0,0.031578947368421054,0.0001271294177472667,0.0,0.0,1.970026053594559e-06,0.0,0.00180940892641737,0.0,0.0,0.25,0.02702702702702703,0.0,0.0,43,174,1026,1015,1,0,806,2,1,288,824,472,771,3,459,0,1,86,123,1,146,2,0,547,19,356
5,0,0.0,0.0001271294177472667,0.0,0.0,0.01263180705564831,0.0,0.0,0.0,0.0010643959552953698,0.0,0.0,0.0,0.0,0,105,210,362,9,2,398,2,1,194,533,918,500,2,25,723,5,299,123,1,159,1,8,336,19,356
6,0,0.0,0.0003813882532418001,0.00023649048125812936,0.0,0.003120521268893781,0.0,0.0,0.0018281535648994515,0.0003547986517651233,0.0,0.0,0.0,0.0,19,172,989,878,9,6,364,2,1,194,604,82,368,2,801,815,5,436,123,1,138,2,5,69,19,356
7,1,0.010526315789473684,0.0007627765064836002,0.00023649048125812936,0.0,0.0,0.0,0.0006031363088057901,0.0,0.0,0.25,0.02702702702702703,0.0,0.0,33,42,425,947,29,0,282,5,1,294,677,430,216,2,85,1050,8,240,123,1,402,2,0,436,19,356
8,0,0.0,0.005847953216374269,0.0004729809625162587,0.09195402298850575,0.018725097639416283,0.0536869340232859,0.016887816646562123,0.056672760511883,0.025013304949441192,0.0,0.02702702702702703,0.0,0.01038961038961039,0,215,1070,819,1,3,985,2,1,138,31,1078,202,13,733,621,8,143,123,1,1,2,0,162,19,356
9,0,0.0,0.004703788456648868,0.0,0.011494252873563218,0.033231384485059814,0.004527813712807245,0.0006031363088057901,0.003656307129798903,0.0005321979776476849,0.0,0.02702702702702703,0.0,0.0012987012987012987,0,79,1072,973,1,4,395,2,1,5,822,710,160,2,145,666,7,233,123,1,65,2,0,43,19,356
10,0,0.0,0.0005085176709890668,0.07473099207756888,0.0,0.055919189531281555,0.0,0.0,0.009140767824497258,0.011530956182366508,0.0,0.0,0.0,0.0025974025974025974,0,4,646,533,1,3,23,2,0,194,463,998,448,13,298,91,5,22,22,0,968,2,1,615,28,339
11,0,0.0,0.0010170353419781336,0.000709471443774388,0.06896551724137931,0.00041469048428165466,0.023501509271237602,0.0006031363088057901,0.012797074954296161,0.018981727869434094,0.0,0.02702702702702703,0.0,0.007792207792207792,0,157,839,677,11,4,89,2,1,194,630,764,344,2,396,743,7,287,123,1,784,2,0,479,19,356
12,1,0.0,0.0001271294177472667,0.0,0.0,0.0014430440842580143,0.0,0.010253317249698432,0.0,0.0007095973035302466,0.0,0.10810810810810811,0.0,0.0,7,51,1268,435,1,6,147,5,1,823,419,142,282,2,270,1128,8,487,123,1,1154,2,0,547,19,356
13,1,0.0,0.0005085176709890668,0.0013006976469197116,0.05747126436781609,0.010108203680993681,0.007330746011211729,0.0012062726176115801,0.007312614259597806,0.0008869966294128083,0.0,0.02702702702702703,0.0,0.006493506493506494,56,37,1052,1026,1,4,504,10,1,211,316,723,355,3,169,23,0,285,11,2,789,2,0,480,17,288
14,0,0.0,0.006737859140605135,0.009932600212841433,0.04597701149425287,0.003578552326354516,0.00560586459680897,0.0006031363088057901,0.007312614259597806,0.0014191946070604932,0.0,0.02702702702702703,0.0,0.005194805194805195,26,126,794,394,0,0,724,2,1,101,654,21,537,3,34,191,4,39,22,3,1175,2,11,429,27,441
15,0,0.0,0.0005085176709890668,0.00011824524062906468,0.20689655172413793,0.019951438857778895,0.0,0.0,0.0018281535648994515,0.2316835196026255,0.0,0.0,0.0,0.025974025974025976,0,187,543,865,11,3,933,19,1,194,586,900,110,7,694,63,5,126,123,1,871,2,1,114,19,356
16,1,0.010526315789473684,0.12573099415204678,0.0,0.022988505747126436,0.00010342636781371434,0.00043122035360068997,0.0006031363088057901,0.003656307129798903,0.0003547986517651233,0.25,0.02702702702702703,0.0,0.0025974025974025974,33,52,1128,282,9,3,304,2,1,194,214,488,459,2,772,204,7,181,22,3,287,2,0,542,0,378
17,0,0.0,0.0003813882532418001,0.0,0.0,0.016348261205754448,0.12009486847779216,0.00180940892641737,0.009140767824497258,0.021820117083555083,0.0,0.02702702702702703,0.0,0.0012987012987012987,43,123,633,872,11,5,662,2,1,2,191,760,205,13,426,216,8,441,123,1,1062,3,0,531,19,356
18,0,0.0,0.003305364861428934,0.0004729809625162587,0.022988505747126436,0.0020251867830952063,0.00258732212160414,0.00361881785283474,0.018281535648994516,0.014724144048252617,0.0,0.02702702702702703,0.0,0.0025974025974025974,0,238,49,854,7,5,598,11,1,76,658,119,102,3,291,51,8,364,22,3,1153,2,0,222,28,317
19,0,0.07368421052631578,0.013221459445715737,0.0,0.034482758620689655,0.000768310160901878,0.003234152652005175,0.004221954161640531,0.027422303473491772,0.0026609898882384245,0.25,0.02702702702702703,0.0,0.003896103896103896,17,176,313,97,11,0,5,2,1,342,508,463,823,12,132,1137,8,198,123,1,1069,2,9,208,19,356
20,1,0.0,0.0062293414696160685,0.0,0.0,0.006303098358475791,0.00819318671841311,0.011459589867310011,0.018281535648994516,0.025368103601206317,0.0,0.2702702702702703,0.0,0.007792207792207792,4,51,186,848,1,3,492,17,1,194,483,86,145,3,44,447,8,61,123,1,1056,2,0,663,19,356
21,0,0.0,0.0003813882532418001,0.009459619250325174,0.0,0.0018203040735213724,0.06188012074169901,0.0006031363088057901,0.007312614259597806,0.008160368990597836,0.0,0.02702702702702703,0.0,0.005194805194805195,0,12,112,90,1,3,938,2,1,194,30,1015,496,2,185,103,7,188,124,2,1045,2,0,592,27,386
22,0,0.0,0.0002542588354945334,0.0016554333688069056,0.06896551724137931,0.0070251129071181966,0.03686934023285899,0.0012062726176115801,0.003656307129798903,0.0010643959552953698,0.0,0.02702702702702703,0.0,0.007792207792207792,0,51,1191,602,1,5,307,17,1,284,453,331,392,13,674,950,0,194,123,1,426,2,1,66,19,356
23,0,0.0,0.0013984235952199337,0.001064207165661582,0.1954022988505747,0.011597543377511168,0.0,0.0,0.04204753199268738,0.02270711371296789,0.0,0.0,0.0,0.02207792207792208,0,10,1065,403,1,3,280,2,1,376,257,123,442,2,218,854,1,222,123,1,909,2,10,712,19,356
24,0,0.0,0.0003813882532418001,0.00023649048125812936,0.0,0.006097230635875159,0.01811125485122898,0.0006031363088057901,0.04936014625228519,0.012595352137661877,0.0,0.02702702702702703,0.0,0.0,26,58,1070,819,1,3,743,2,1,516,819,1078,407,2,378,621,7,489,123,1,1,5,1,162,19,356
25,0,0.0,0.0007627765064836002,0.0018919238500650349,0.0,0.00583620218377388,0.00043122035360068997,0.0012062726176115801,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,26,12,526,743,1,4,851,2,1,102,180,875,314,8,469,111,0,188,133,2,924,2,0,174,27,149
26,1,0.0,0.0003813882532418001,0.0023649048125812936,0.1839080459770115,0.0015248001654821885,0.020051746442432083,0.02533172496984318,0.05850091407678245,0.1617881852048962,0.0,0.40540540540540543,0.01020408163265306,0.02077922077922078,43,149,875,14,1,3,306,5,1,390,707,182,412,2,549,904,3,72,22,2,639,2,0,454,18,460
27,1,0.0,0.0027968471904398677,0.00023649048125812936,0.022988505747126436,0.007080273636618844,0.036653730056058646,0.0012062726176115801,0.005484460694698354,0.004257583821181479,0.0,0.05405405405405406,0.0,0.0025974025974025974,33,51,1217,204,11,3,883,2,1,652,474,378,665,2,534,1076,4,7,123,1,852,2,1,530,19,356
28,1,0.0,0.010170353419781336,0.00023649048125812936,0.1724137931034483,0.004246391158523072,0.018326865028029323,0.0024125452352231603,0.03290676416819013,0.04080184495298918,0.0,0.08108108108108109,0.0,0.01948051948051948,33,23,502,386,11,2,140,2,1,692,444,1077,467,13,666,349,8,467,123,1,1160,2,0,97,19,356
29,1,0.031578947368421054,0.0002542588354945334,0.0004729809625162587,0.14942528735632182,0.0002206429180025906,0.00603708495040966,0.00180940892641737,0.06398537477148081,0.004789781798829164,0.25,0.02702702702702703,0.0,0.016883116883116882,0,146,802,92,1,0,1012,2,1,10,822,103,160,8,490,657,8,236,123,1,222,2,1,521,19,356
30,1,0.0,0.03546910755148741,0.0,0.034482758620689655,0.007208325330102491,0.00517464424320828,0.00361881785283474,0.005484460694698354,0.01738513393649104,0.0,0.02702702702702703,0.0,0.003896103896103896,43,155,256,50,11,6,549,2,1,194,498,730,762,2,144,225,8,420,123,1,477,2,1,434,19,356
31,0,0.0,0.0001271294177472667,0.0,0.0,0.004881724560807317,0.0,0.0,0.06764168190127971,0.01720773461060848,0.0,0.0,0.0,0.0,56,74,1070,819,1,6,791,2,1,194,484,1078,493,9,398,621,5,387,123,1,1,2,3,162,19,356
32,0,0.010526315789473684,0.0002542588354945334,0.00011824524062906468,0.0,0.0014056135892397178,0.000646830530401035,0.009650180940892641,0.02010968921389397,0.008869966294128083,0.0,0.05405405405405406,0.01020408163265306,0.0,0,32,516,167,11,3,306,2,1,48,707,1193,412,2,126,70,4,373,123,1,489,2,0,106,19,356
33,0,0.042105263157894736,0.0002542588354945334,0.006503488234598558,0.09195402298850575,0.000846126190018863,0.002802932298404485,0.0024125452352231603,0.021937842778793418,0.0023061912364733014,0.25,0.02702702702702703,0.0,0.01038961038961039,0,228,400,394,1,4,938,2,1,194,907,515,496,14,106,191,5,43,22,2,91,2,0,429,27,370
34,1,0.010526315789473684,0.03318077803203661,0.00011824524062906468,0.011494252873563218,4.925065133986397e-06,0.00021561017680034498,0.00361881785283474,0.0018281535648994515,0.00017739932588256165,0.25,0.08108108108108109,0.0,0.0012987012987012987,0,241,893,1016,1,4,1026,2,1,478,613,892,753,13,681,853,8,8,123,1,45,2,0,589,19,356
35,1,0.0,0.016399694889397406,0.00011824524062906468,0.034482758620689655,0.0016577769240998213,0.004096593359206555,0.015681544028950542,0.031078610603290677,0.08426467979421678,0.0,0.24324324324324326,0.0,0.003896103896103896,0,131,104,355,11,5,127,2,1,730,432,574,351,2,149,334,6,392,193,2,255,3,10,174,1,149
36,0,0.0,0.0003813882532418001,0.0,0.0,0.022906477938170734,0.0,0.0,0.0018281535648994515,0.012950150789427,0.0,0.0,0.0,0.0,37,215,907,872,1,3,473,5,1,194,633,1084,175,13,536,77,5,89,123,1,584,2,0,531,19,356
37,0,0.06315789473684211,0.0001271294177472667,0.0,0.0,0.0009012869195195107,0.0086244070720138,0.015681544028950542,0.0603290676416819,0.012772751463544438,0.25,0.08108108108108109,0.0,0.0,48,77,757,216,1,5,194,2,1,868,430,2,103,13,720,366,8,388,22,2,565,5,7,453,0,142
38,0,0.0,0.0002542588354945334,0.000354735721887194,0.13793103448275862,0.007198475199834518,0.020914187149633463,0.0012062726176115801,0.038391224862888484,0.015965939329430547,0.0,0.02702702702702703,0.0,0.015584415584415584,33,155,597,321,11,3,951,2,1,766,201,830,345,3,415,895,8,97,123,1,459,2,0,434,19,356
39,0,0.08421052631578947,0.0002542588354945334,0.0017736786094359701,0.22988505747126436,0.00011327649808168713,0.00517464424320828,0.0048250904704463205,0.04204753199268738,0.004257583821181479,0.5,0.05405405405405406,0.0,0.025974025974025976,26,201,635,233,1,4,664,2,1,319,653,476,461,3,433,417,6,42,22,3,38,2,0,445,1,20
40,0,0.0,0.005085176709890668,0.00023649048125812936,0.04597701149425287,0.0030722556305807147,0.032125916343251404,0.038600723763570564,0.08775137111517367,0.024658506297676068,0.0,0.16216216216216217,0.061224489795918366,0.005194805194805195,0,32,1070,819,11,5,306,5,1,390,707,1078,412,2,15,621,6,180,123,1,1,2,0,162,19,356
41,1,0.9263157894736842,0.04080854309687262,0.0,0.04597701149425287,4.925065133986397e-06,0.0008624407072013799,0.053679131483715316,0.07312614259597806,0.015611140677665425,0.75,0.10810810810810811,0.12244897959183673,0.005194805194805195,0,10,277,1029,1,5,1099,2,1,447,308,111,174,13,620,340,6,386,123,1,101,2,0,636,19,356
42,0,0.0,0.0003813882532418001,0.002128414331323164,0.05747126436781609,0.0016577769240998213,0.0172488141440276,0.022919179734620022,0.009140767824497258,0.016852935958843355,0.0,0.13513513513513514,0.0,0.006493506493506494,0,12,882,555,1,4,206,2,1,673,590,1052,764,3,714,912,4,208,163,2,471,2,0,66,27,405
43,0,0.0,0.003686753114670735,0.0,0.0,0.11118630043882331,0.4540750323415265,0.0,0.003656307129798903,0.016852935958843355,0.0,0.0,0.0,0.0,26,51,250,270,1,3,373,17,0,194,306,837,398,2,637,78,7,495,123,1,413,2,1,490,19,356
44,0,0.0,0.0001271294177472667,0.0,0.0,0.004820653753145885,0.0043122035360069,0.0006031363088057901,0.012797074954296161,0.003547986517651233,0.0,0.02702702702702703,0.0,0.0,0,74,1070,819,9,3,587,2,1,240,678,1078,264,9,398,621,0,387,123,1,1,5,1,162,19,356
45,0,0.0,0.004322400203407068,0.0,0.011494252873563218,0.009234497126224494,0.0,0.0,0.06764168190127971,0.0031931878658861094,0.0,0.0,0.0,0.0012987012987012987,0,215,892,872,1,3,726,17,1,194,485,780,818,13,536,641,4,89,123,1,1002,2,0,531,19,356
46,0,0.0,0.0010170353419781336,0.000709471443774388,0.1724137931034483,0.01991006831065341,0.1093143596377749,0.004221954161640531,0.07678244972577697,0.06386375731772219,0.0,0.05405405405405406,0.0,0.05194805194805195,0,19,1070,819,11,3,1068,34,1,194,586,1078,110,3,461,621,8,417,123,1,1,2,0,162,19,356
47,0,0.3263157894736842,0.002415458937198067,0.00023649048125812936,0.12643678160919541,0.000285653777771211,0.004959034066407935,0.01869722557297949,0.04204753199268738,0.011530956182366508,0.5,0.05405405405405406,0.0,0.014285714285714285,0,77,21,352,1,5,60,2,1,890,269,431,420,2,310,844,8,388,196,2,265,4,2,366,0,523
48,0,0.010526315789473684,0.3030765319094838,0.0015371881281778408,0.04597701149425287,3.940052107189118e-05,0.0008624407072013799,0.04161640530759952,0.005484460694698354,0.10803618946248005,0.25,0.2972972972972973,0.0,0.005194805194805195,0,51,773,753,1,6,2,5,1,339,607,172,99,13,794,10,8,370,123,1,906,2,10,302,19,356
