,label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
842,1,0.0,0.006356470887363335,0.0015371881281778408,0.13793103448275862,0.0028959382987840017,0.16709788702026737,0.0012062726176115801,0.012797074954296161,0.0342380698953344,0.0,0.0,0.0,0.015584415584415584,0,249,474,292,1,3,97,11,1,562,566,982,204,13,253,355,8,513,123,1,1095,5,7,66,19,356
822,1,0.0,0.0013984235952199337,0.0008277166844034528,0.13793103448275862,0.0016183764030279302,0.0038809831824062097,0.0006031363088057901,0.021937842778793418,0.0037253858435337944,0.0,0.02702702702702703,0.0,0.015584415584415584,43,12,514,190,1,4,851,2,1,298,180,509,314,13,273,1048,4,188,22,3,389,2,0,174,27,32
1700,0,0.031578947368421054,0.0002542588354945334,0.001418942887548776,0.26436781609195403,0.00038514009347773626,0.020914187149633463,0.00723763570566948,0.08592321755027423,0.01614333865531311,0.25,0.08108108108108109,0.0,0.02987012987012987,0,152,936,1015,1,6,992,2,1,194,21,897,161,13,56,635,8,260,123,1,804,2,8,547,19,356
1202,0,0.0,0.024663107042969742,0.0030743762563556817,0.04597701149425287,0.0,0.0,0.0,0.009140767824497258,0.0067411743835373425,0.0,0.0,0.0,0.005194805194805195,26,126,613,651,1,6,69,2,0,194,452,1218,336,13,250,915,2,510,22,0,755,2,8,131,27,468
527,0,0.0,0.0003813882532418001,0.0039020929407591345,0.16091954022988506,0.0017385479922971982,0.046356188012074175,0.010253317249698432,0.03290676416819013,0.018094731240021287,0.0,0.05405405405405406,0.0,0.01818181818181818,75,126,613,651,1,3,191,17,1,205,579,1218,21,13,250,915,8,510,22,0,755,2,1,131,27,298
1152,0,0.0,0.0003813882532418001,0.00023649048125812936,0.09195402298850575,0.03159626286057633,0.11233290211297974,0.0030156815440289505,0.043875685557586835,0.0823132872095086,0.0,0.0,0.0,0.01038961038961039,56,13,907,872,9,3,977,5,1,657,784,1084,591,2,305,77,4,503,123,1,584,2,1,531,19,356
158,0,0.0,0.001271294177472667,0.0009459619250325174,0.09195402298850575,0.03299793639770886,0.0,0.0,0.016453382084095063,0.0,0.0,0.0,0.0,0.011688311688311689,0,144,839,677,1,3,966,2,1,255,562,764,77,13,587,743,8,164,123,1,784,2,1,479,19,356
231,0,0.0,0.0001271294177472667,0.0,0.0,0.018478844382716964,0.03967227253126348,0.008443908323281062,0.0018281535648994515,0.014546744722370055,0.0,0.05405405405405406,0.0,0.0,0,51,421,435,1,5,134,2,1,371,337,415,140,2,299,1128,3,487,123,1,1154,2,1,547,19,356
1461,0,0.0,0.0002542588354945334,0.0015371881281778408,0.06896551724137931,0.023312303305211213,0.21345407503234154,0.0006031363088057901,0.010968921389396709,0.038850452368281004,0.0,0.02702702702702703,0.0,0.007792207792207792,0,65,782,309,11,4,244,2,0,355,428,651,686,2,333,344,8,82,22,0,839,4,0,637,27,132
1162,0,0.021052631578947368,0.0003813882532418001,0.000709471443774388,0.12643678160919541,9.850130267972794e-06,0.002371711944803795,0.012062726176115802,0.06946983546617916,0.03335107326592159,0.25,0.21621621621621623,0.0,0.014285714285714285,0,120,610,35,1,0,22,2,1,547,184,4,286,2,77,750,8,490,64,2,235,2,2,61,27,501
